ID,Gain,Loss
4622083,79 S. Ct. 104 (1958),
4622083,,"Folkman v. United States , 615 F.2d 493 (9th Cir. 1980)"
4622083,608 F.2d 1269,
4622083,,"Horton v. Commissioner , 86 T.C. 589 , 593 (1986)"
4622083,326 U.S. 465,
4622083,931 F.2d 132,
4622083,90 L. Ed. 203,
4622083,450 F.2d 66,
4622083,82 U.S. App. D.C. 63,
4622083,93 T.C. 297,
4622083,,"Lewia v. Commissioner , 165 U.S. App. D.C. 282"
4622083,,"Markey v. Commissioner , 490 F.2d 1249 , 1254 (6th Cir. 1974)"
4622083,,Wojciechowski v. Commissioner Docket No. 21290-88 United States Tax Court T.C. Memo 1991-239
4622083,876 F.2d 893,
4622083,,"Commissioner v. Flowers , 326 U.S. 465 , 90 L. Ed. 203 , 66 S. Ct. 250 (1946)"
4622083,438 F.2d 905,
4622083,87 S. Ct. 1065 (1967),
4622083,624 F.2d 1109,
4622083,,"Lagrone v. Commissioner , T.C. Memo 1988-451 , affd. without published opinion 876 F.2d 893 (5th Cir. 1989)"
4622083,807 F.2d 177,
4622083,,"Commissioner v. Stidger , 386 U.S. 287 , 18 L. Ed. 2d 53 , 87 S. Ct. 1065 (1967)"
4622083,506 F.2d 1321,
4622083,,"Swicegood v. Commissioner , T.C. Memo 1989-467"
4622083,54 T.C. 742,
4622083,490 F.2d 1249,
4622083,,"York v. Commissioner , 82 U.S. App. D.C. 63 , 160 F.2d 385 (D.C. Cir. 1947)"
4622083,T.C. Memo 1988-451,
4622083,75-1 U.S. Tax Cas. (CCH) P9145,
4622083,supra,
4622083,,"Dean v. Commissioner , T.C. Memo 1976-379 ; Kennedy v. Commissioner , T.C. Memo 1970-58 , affd. per curiam 451 F.2d 1023 (3d Cir. 1971)"
4622083,,"Rosenspan v. United States , 438 F.2d 905 (2d Cir. 1971)"
4622083,,"Commissioner v. Stidger , 386 U.S. 287 , 291 n. 11, 18 L. Ed. 2d 53 , 87 S. Ct. 1065 (1967)"
4622083,,"Andrews v. Commissioner , 931 F.2d 132 at 138 (1st Cir. 1991)"
4622083,,"Commissioner , supra"
4622083,T.C. Memo 1970-58,
4622083,85 T.C. 462,
4622083,86 T.C. 589,
4622083,,"Mitchell v. Commissioner , 74 T.C. 578 , 581 (1980)"
4622083,445 F.2d 985,
4622083,T.C. Memo 1979-468,
4622083,74 T.C. 578,
4622083,629 F.2d 1071,
4622083,,"Coombs v. Commissioner , 608 F.2d 1269 , 1275-1276 (9th Cir. 1979)"
4622083,,"Peurifoy v. Commissioner , 358 U.S. 59 , 3 L. Ed. 2d 30 , 79 S. Ct. 104 (1958)"
4622083,T.C. Memo 1989-467,
4622083,T.C. Memo 1974-212,
4622083,,"Lewia v. Commissioner , 165 U.S. App. D.C. 282 , 506 F.2d 1321"
4622083,,"Lewia v. Commissioner , 165 U.S. App. D.C. 282 , 506 F.2d 1321 , 75-1 U.S. Tax Cas. (CCH) P9145 (D.C. Cir. 1974) , affg. T.C. Memo 1972-168"
4622083,,"Lewia v. Commissioner , 165 U.S. App. D.C. 282 , 506 F.2d 1321 , 75-1 U.S. Tax Cas. (CCH) P9145 (D.C. Cir. 1974)"
4622083,,"Commissioner v. Stidger , 386 U.S. 287 , 291 n. 11, 18 L. Ed. 2d 53 , 87 S. Ct. 1065 (1967) . We also have indicated the District of Columbia Circuit's agreement with our test in Maresca v. Commissioner , T.C. Memo 1974-212 ↩ . 3. Staff of J. Comm. on Taxation, General Explanation of the Economic Recovery Tax Act of 1981 at 43 (J. Comm. Print 1981)"
4622083,18 L. Ed. 2d 53,
4622083,615 F.2d 493,
4622083,,"Peurifoy v. Commissioner , 358 U.S. 59 , 3 L. Ed. 2d 30 , 79 S. Ct. 104 (1958) ; and Commissioner v. Flowers , 326 U.S. 465 , 90 L. Ed. 203 , 66 S. Ct. 250 (1946)"
4622083,,"Golsen v. Commissioner , 54 T.C. 742 (1970) , affd. 445 F.2d 985 (10th Cir. 1971)"
4622083,,"Barone v. Commissioner , 85 T.C. 462 (1985)"
4622083,,"Sislik v. Commissioner , T.C. Memo 1989-495 (on appeal, D.C. Cir. March 26, 1990)"
4622083,386 U.S. 287,
4622083,T.C. Memo 1979-432,
4622083,358 U.S. 59,
