ID,Gain,Loss
4994933,"supra,",
52459,"8 U.S.C. §
1101",
2046752,"supra,",
2046752,supra;,
2046752,supra.,
5165179,supra.,
1245958,supra.,
4013931,28 U.S.C. § 2401,
5970983,(supra).,
685153,21 U.S.C. Sec. 846,
685153,21 U.S.C. Sec. 841,
4536776,19 U.S.C. § 2251,
6144534,(supra):,
2141253,149 F.Supp. 562,
2060699,Beckler at 775,
2999939,"18 U.S.C.
§ 2113",
2999939,"18 U.S.C.
§ 924",
2999939,"18
U.S.C. § 924",
2999939,18 U.S.C. § 3553,
2999939,"18 U.S.C.
§ 3553",
3419420,supra,
2277838,Tex. Tax Code Ann. §§ 42.01,
3542084,200 S.W. 286,
212922,28 U.S.C. § 2253,
1771039,supra,
2257892,38 Cal.Rptr.2d 908,
270119,supra.,
1897124,supra,
1897124,supra.,
1537257,9 U.S.C. Section 1,
1537257,supra,
1950193,"supra,",
1814863,"supra,",
1814863,36 La.Ann. 264,
1814863,supra;,
1814863,supra.,
2206425,358 Ill.App.3d at 727,
2206425,303 Ill. Dec. 715,
2206425,228 Ill.Dec. 179,
1183603,"Supra,",
1183603,32 L.E.2d 411,
2042257,supra,
2357843,supra,
2414924,Robinson at 1211,
2414924,"supra,",
2414924,Brzonkala at 3,
2414924,Brzonkala at 874,
2414924,Brzonkala at 834,
2414924,Robinson at 1210,
2414924,Brzonkala at 887,
2414924,Boerne at 2170,
2414924,supra.,
2762529,28 U.S.C. § 2253,
3010899,"28 U.S.C.
S 636",
3010899,"28
U.S.C. S 1404",
280035,"supra,",
280035,supra.,
1961932,supra.,
3005910,18 U.S.C. Section 2703,
3005910,"18
U.S.C. § 2703",
1613,"18

U.S.C. § 3583",
1613,"18 U.S.C.

§ 3583",
173654,35 U.S.C. § 103,
173654,35 U.S.C. § 112,
1308185,supra).,
1308185,supra),
2675750,"28 U. S. C.
§1291",
1353959,supra.,
1952261,"supra,",
1952261,42 U.S.C. §§ 405,
1952261,supra.,
1964781,735 A.2d 606,
1964781,23 Cal. Rptr. 2d 101,
1964781,supra,
1964781,supra.,
271339,"supra,",
271339,supra,
271339,supra;,
1025918,"28

U.S.C. § 2253",
3991011,supra;,
3991011,supra),
3991011,supra.,
3337978,"supra,",
3483828,supra,
4092957,18 U.S.C. § 922,
4092957,18 U.S.C. §§ 924,
3193573,704 So.2d 689,
4485840,"supra,",
4485840,supra);,
1284448,supra.),
2225955,supra.,
1206257,supra;,
219355,"29 U.S.C. §

1054",
1352961,supra,
1352961,supra.,
1366144,394 N.Y.S. 2d 603,
1366144,"supra),",
1366144,(supra),
1334683,"supra,",
1386480,supra;,
1386480,supra,
587357,49 U.S.C. § 10701,
562613,supra,
1605614,supra;,
6392431,supra;,
6608066,supra.,
6849206,supra,
6849206,supra.,
7372528,supra.,
7535823,supra;,
7675313,"supra,",
